scenario,climate,security_priority,strategy_name,n_samples,feasibility_rate,ag_reduction_mean,ag_reduction_std,ag_reduction_p5,ag_reduction_p25,ag_reduction_median,ag_reduction_p75,ag_reduction_p95,final_violence_mean,final_violence_p5,final_violence_p95,final_trust_mean,robustness_25,robustness_50
low,0.5,0.3,30% Security,100,1.0,83.2817380595714,5.339019464916165,74.76545323913506,79.17643836185721,83.70607828312092,87.25136982869408,91.11602083634733,0.0008990880919510414,0.0004886161848531301,0.0014132157856273006,195.30900967891318,1.0,1.0
low,0.5,0.4,40% Security,100,1.0,84.76136917744398,5.102034906294214,76.541155626,80.75910059269665,85.46487221594913,88.31729261425127,92.26476465388494,0.0008752458120262227,0.00048115885069888604,0.0013242254557549924,193.230104747293,1.0,1.0
low,0.5,0.5,Balanced,100,1.0,86.84266805834746,4.598646489385151,79.50802488211633,83.70161345267766,87.41600449845896,90.47992575327481,92.9532099520646,0.0008281737288183325,0.0004745169326303284,0.0014148448670732762,189.89206324396997,1.0,1.0
low,0.5,0.6,60% Security,100,1.0,88.6488721562384,4.2778778920211575,80.41073751682453,85.85197045526873,89.43003365301192,91.69736118198617,94.65344149789863,0.0007443644237644319,0.0004091804220303043,0.0012657354839647394,189.1275912007219,1.0,1.0
low,0.5,0.7,70% Security,100,1.0,89.86800952182993,4.024207207042559,82.37870033205691,87.55440894792369,90.25167949465744,93.23727367969528,95.70775827538948,0.0006874909222824745,0.00037656081785267877,0.0010705604183598616,181.3967932155879,1.0,1.0
low,0.5,0.8,80% Security,100,1.0,91.92285443616858,3.597678539810131,85.65197927034643,90.13681640063855,92.58156784559722,94.3157208213954,97.05996893734904,0.000632857892158892,0.00036373616593206277,0.0009464288139988773,181.0292404230497,1.0,1.0
low,0.5,0.9,90% Security,100,1.0,93.46594086360955,2.9904833382391685,87.45232679895764,91.64675051667936,94.03767994837602,95.89599359735763,97.62144021250313,0.0005394626577555669,0.00026344819658609186,0.0009310318469965544,177.29637332585236,1.0,1.0
low,0.5,1.0,Pure Security,100,1.0,94.7446974671857,2.5572326469284348,89.39924990829309,93.34156306290059,95.23046327721678,96.69000093350516,97.94521952694102,0.00047954008087680306,0.0002763877895346103,0.0007518437442814441,171.59912570393234,1.0,1.0
low,0.7,0.0,Pure Development,100,1.0,78.32730261046967,5.040308847730844,70.10392063833646,74.49824617481693,78.45273733304751,81.80076960019889,86.44350144961075,0.0009590093013873504,0.0005677493482423919,0.00159240678957867,214.67444011304542,1.0,1.0
low,0.7,0.1,10% Security,100,1.0,81.47056115786258,5.1508444600988925,74.06745402217892,77.51209705779843,80.6238968779326,85.70463037446137,89.68440897975533,0.0009584815019187033,0.000516192712961821,0.0016286337599529153,208.35906989900914,1.0,1.0
